City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Khani,GE,62.17,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
514,Abha,SA,70.05,few clouds,18.2164,42.5053,Abha Hotel
516,Sibolga,ID,78.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
518,Las Margaritas,MX,76.44,clear sky,16.3167,-91.9833,Fam Esponda Arguello
519,Marsh Harbour,BS,75.88,clear sky,26.5412,-77.0636,Abaco Beach Resort
520,Bako,ET,65.98,light rain,5.7833,36.5667,Goh Hotel
527,Nchelenge,ZM,71.1,moderate rain,-9.3451,28.734,KD Travellers Home
531,Baiyin,CN,60.26,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
535,Poum,NC,76.48,scattered clouds,-20.2333,164.0167,
537,Pameungpeuk,ID,71.56,overcast clouds,-7.0183,107.6039,South Legend
540,Pascagoula,US,79.03,few clouds,30.3658,-88.5561,Regency Inn
541,Grand Baie,MU,76.44,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
544,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
545,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
546,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
549,Avera,US,76.55,overcast clouds,33.194,-82.5271,
550,Bucerias,MX,76.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
552,Exeter,GB,64.15,few clouds,50.7236,-3.5275,Premier Inn Exeter (Countess Wear) hotel
553,Benghazi,LY,67.62,few clouds,32.1167,20.0667,Tibesti Hotel
557,Calama,CL,66.69,clear sky,-22.4667,-68.9333,Park Hotel Calama
558,Saurimo,AO,74.82,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
563,Marawi,PH,70.05,overcast clouds,7.9986,124.2928,Derogongan Residence
564,Sambava,MG,77.47,light rain,-14.2667,50.1667,Melrose
566,Blackwater,AU,66.18,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
570,Biak,ID,77.04,broken clouds,-0.9131,122.8766,Penginapan Kim
573,Antalaha,MG,76.28,light rain,-14.9003,50.2788,Hotel Vitasoa
574,Fougamou,GA,76.08,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
580,Arica,CL,72.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
581,Hamada,JP,60.1,clear sky,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
583,Padang,ID,78.78,overcast clouds,-0.9492,100.3543,Mercure Padang
585,Chiungutwa,TZ,74.12,light rain,-10.8833,38.9833,
587,Amahai,ID,79.61,broken clouds,-3.3333,128.9167,HOTEL ISABELA
589,Carutapera,BR,76.1,overcast clouds,-1.195,-46.02,Lidera
590,Inirida,CO,79.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
598,Hirara,JP,77.45,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
601,Lisala,CD,78.55,light rain,2.15,21.5167,Flat hôtel tozelaka
605,Malanje,AO,73.74,overcast clouds,-9.5402,16.341,Hotel Ginga
607,Cururupu,BR,78.96,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
613,Luganville,VU,76.08,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
614,Kirakira,SB,79.07,overcast clouds,-10.4544,161.9205,SanBiz Lodge
615,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
616,Sao Bento Do Sul,BR,68.23,few clouds,-26.2503,-49.3786,Serra Alta Hotel
617,Erzin,TR,74.84,clear sky,36.9559,36.2,Artemis Otel
618,Huntsville,US,77.92,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
620,Requena,ES,71.87,clear sky,39.4883,-1.1004,Hotel Avenida
622,Gondanglegi,ID,76.6,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
623,Kununurra,AU,71.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
624,Mecatlan,MX,77.18,clear sky,20.2167,-97.6667,Hotel Principal
627,Muncar,ID,77.79,scattered clouds,-8.4333,114.3333,Zaky Homestay
630,Ericeira,PT,68.45,scattered clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
637,Lorient,FR,64.54,light rain,47.8333,-3.25,Les 2 Ifs
639,Punta Alta,AR,68.14,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
640,Ploemeur,FR,64.49,overcast clouds,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
642,Waingapu,ID,76.96,few clouds,-9.6567,120.2641,Pondok Wisata Elim
643,Ransang,PH,78.98,clear sky,8.9603,117.5828,Black and Crystal Sand Campsite
647,Haimen,CN,78.69,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
649,Clearlake,US,60.17,scattered clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
653,Pamanukan,ID,76.71,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
654,Xiangfan,CN,66.9,moderate rain,32.0422,112.1448,Xiangyang Wanda Crowne Plaza
656,Santa Rita,BR,74.07,broken clouds,-7.1139,-34.9781,Infinity Motel
658,Yarim,YE,63.05,light rain,14.298,44.3779,وليد المسوري ابو اسد
663,Hastings,GB,62.28,clear sky,50.8552,0.5729,Zanzibar Hotel
665,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
